"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0,64,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.5,NA,0,1,TRUE
0,64,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,64,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,23,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,23,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,23,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,23,0.45,0.506578947368421,0.497683481273003,0.662162162162162,0.948387096774194,0.0469798657718121,0.488524590163934,0.472703005252734,0.648648648648649,0.911392405063291,0.0340136054421769,FALSE
0.05,23,0.5,0.526315789473684,0.524962113011474,0.560975609756098,0.593548387096774,0.456375838926175,0.40327868852459,0.401080685438732,0.445121951219512,0.462025316455696,0.340136054421769,FALSE
0.05,23,0.55,0.496710526315789,0.506191816410479,0.0496894409937888,0.0258064516129032,0.986577181208054,0.481967213114754,0.5,NA,0,1,TRUE
0.05,23,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,23,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,27,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,27,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,27,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,27,0.45,0.519736842105263,0.511106300064949,0.668181818181818,0.948387096774194,0.0738255033557047,0.485245901639344,0.470012055455093,0.642369020501139,0.892405063291139,0.0476190476190476,FALSE
0.05,27,0.5,0.555921052631579,0.555942844771596,0.560260586319218,0.554838709677419,0.557046979865772,0.429508196721311,0.430659605614398,0.42,0.39873417721519,0.462585034013605,FALSE
0.05,27,0.55,0.503289473684211,0.511734141589089,0.146892655367232,0.0838709677419355,0.939597315436242,0.462295081967213,0.477934211659347,0.0786516853932584,0.0443037974683544,0.91156462585034,FALSE
0.05,27,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,27,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,27,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,98,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,98,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,98,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,98,0.45,0.506578947368421,0.497553583026629,0.663677130044843,0.954838709677419,0.0402684563758389,0.485245901639344,0.469775251872901,0.643990929705215,0.89873417721519,0.0408163265306122,FALSE
0.05,98,0.5,0.539473684210526,0.538514830049794,0.565217391304348,0.587096774193548,0.48993288590604,0.436065573770492,0.434620683716525,0.46583850931677,0.474683544303797,0.394557823129252,FALSE
0.05,98,0.55,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.475409836065574,0.492960475329372,0.0123456790123457,0.00632911392405063,0.979591836734694,FALSE
0.05,98,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,98,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,98,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,41,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,41,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,41,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.508196721311475,0.491453543442694,0.668141592920354,0.955696202531646,0.0272108843537415,FALSE
0.05,41,0.45,0.542763157894737,0.534726131197229,0.677494199535963,0.941935483870968,0.12751677852349,0.478688524590164,0.464630155859812,0.629370629370629,0.854430379746835,0.0748299319727891,FALSE
0.05,41,0.5,0.549342105263158,0.550010824853864,0.538720538720539,0.516129032258065,0.583892617449664,0.40327868852459,0.405579953500388,0.372413793103448,0.341772151898734,0.469387755102041,FALSE
0.05,41,0.55,0.5,0.508768131630223,0.116279069767442,0.0645161290322581,0.953020134228188,0.468852459016393,0.485920950658744,0.0240963855421687,0.0126582278481013,0.959183673469388,FALSE
0.05,41,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,41,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,41,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
